ticker,quarter,B_sum,S_sum,days_traded,alpha,delta,mu,epsilon_b,epsilon_s,likelihood,PIN
MTSA4,2021Q1,560,355,58,0.3623508201669285,1.0,8.85814878979756,9.655171264402652,2.910931904933737,1049.894275918958,0.2034600552492231
MTSA4,2020Q4,746,617,61,0.4954544730472133,0.569930635013748,12.781818282148944,9.599885492086887,6.4115697180551,2028.793832021466,0.2834198956039863
MTSA4,2020Q3,1056,601,65,0.0307268750949062,0.000113126688163,127.4619266101022,12.345660130511211,9.24365595726148,3000.5975944121906,0.1535534348824293
MTSA4,2020Q2,683,648,61,0.3016762378807578,0.4123858535835675,18.6039170942948,7.975717091106313,8.231594544019845,1994.5137180873064,0.2572155935716709
MTSA4,2020Q1,1222,934,62,0.2113480382563704,0.5402896101096066,38.81416116845326,16.65503053001551,9.91586564804501,4347.360189343807,0.235901860327575
MULT3,2021Q1,450728,477672,60,1.0,0.6691758182493265,1608.292044732424,6528.204505089035,7136.8193581776895,7394723.335850291,0.1053007778022916
MULT3,2020Q4,473414,419286,61,0.3934424101859042,0.0416668609987163,7996.163741720604,4729.000701146431,6759.393327140235,7111957.3962717,0.2149746339673244
MULT3,2020Q3,692570,699868,65,0.3692304629593766,0.5416689610932858,7594.425145964024,9320.67836593932,9297.348831674302,11574625.509916669,0.1308970854404003
MULT3,2020Q1,670534,751946,62,0.3225821710155622,0.7500013972651397,10056.542320572462,10000.597867255829,9698.582410146751,11936628.818082877,0.1413950705328105
MULT3,2019Q4,425551,393815,61,0.4754119928918297,0.7931045583659131,3603.149686784005,6585.595315237511,5133.661281252884,6420286.006098145,0.1275275705477018
MWET3,2020Q4,75,27,25,0.0823491714359659,0.0022859562048009,25.061567860699498,0.9853554727073762,1.075826975575817,62.52145960075172,0.5003172013915146
MWET3,2020Q3,504,314,40,0.3028558954661614,0.5878726773479344,22.434550648138764,9.001021210891771,4.6545384425221,1264.6404000871323,0.3322463273678289
MWET4,2020Q3,8651,7251,65,0.0131924165929573,0.9639417408720148,713.5879528717808,34.42846174028854,111.38430415419153,69432.93761332498,0.0606464520172572
MWET4,2020Q2,1719,1241,49,0.1836592414310245,4.568096708844097e-09,134.5139167038614,10.374941321196872,25.32678366290797,8486.87173751761,0.4089749415598476
MWET4,2020Q1,220,153,37,0.2292777182472369,0.6155872292996395,15.266540377891005,4.776719241780874,1.804083019196676,336.2152685239649,0.3472125616803356
MWET4,2019Q4,512,202,58,0.9915783073516348,0.9820506011964648,4.207958111389107,9.015975965335102,0.0382777015136406,657.7303449301987,0.3154601486674262
MYPK3,2020Q4,135364,132781,61,0.2786892002791744,0.5294109797386674,2154.0054268927324,1910.9610506134447,1884.5619873743112,1808134.7055743136,0.1365610742172906
MYPK3,2020Q3,290694,307615,65,0.492307362766389,0.3437491829096358,2385.9691472573254,3723.174921756895,4306.947582895409,4461866.671777651,0.1276112698469974
MYPK3,2020Q2,292623,286309,61,0.0018461311367288,0.2590254725254954,2024.8248968000296,4214.696658271872,4844.27006351048,4335850.151113866,0.0004124698271759
