subticker,quarter,governance
BBDC,_2019_4Q,N1
BBDC,_2020_1Q,N1
BBDC,_2020_2Q,N1
BBDC,_2020_3Q,N1
BBDC,_2020_4Q,N1
BBDC,_2021_1Q,N1
BRAP,_2019_4Q,N1
BRAP,_2020_1Q,N1
BRAP,_2020_2Q,N1
BRAP,_2020_3Q,N1
BRAP,_2020_4Q,N1
BRAP,_2021_1Q,N1
GGBR,_2019_4Q,N1
GGBR,_2020_1Q,N1
GGBR,_2020_2Q,N1
GGBR,_2020_3Q,N1
GGBR,_2020_4Q,N1
GGBR,_2021_1Q,N1
ITSA,_2019_4Q,N1
ITSA,_2020_1Q,N1
ITSA,_2020_2Q,N1
ITSA,_2020_3Q,N1
ITSA,_2020_4Q,N1
ITSA,_2021_1Q,N1
ITUB,_2019_4Q,N1
ITUB,_2020_1Q,N1
ITUB,_2020_2Q,N1
ITUB,_2020_3Q,N1
ITUB,_2020_4Q,N1
ITUB,_2021_1Q,N1
RAPT,_2019_4Q,N1
RAPT,_2020_1Q,N1
RAPT,_2020_2Q,N1
RAPT,_2020_3Q,N1
RAPT,_2020_4Q,N1
RAPT,_2021_1Q,N1
CMIG,_2019_4Q,N1
CMIG,_2020_1Q,N1
CMIG,_2020_2Q,N1
CMIG,_2020_3Q,N1
CMIG,_2020_4Q,N1
CMIG,_2021_1Q,N1
CCRO,_2019_4Q,NM
CCRO,_2020_1Q,NM
CCRO,_2020_2Q,NM
CCRO,_2020_3Q,NM
CCRO,_2020_4Q,NM
CCRO,_2021_1Q,NM
SBSP,_2019_4Q,NM
SBSP,_2020_1Q,NM
SBSP,_2020_2Q,NM
SBSP,_2020_3Q,NM
SBSP,_2020_4Q,NM
SBSP,_2021_1Q,NM
CLSC,_2019_4Q,N2
CLSC,_2020_1Q,N2
CLSC,_2020_2Q,N2
CLSC,_2020_3Q,N2
CLSC,_2020_4Q,N2
CLSC,_2021_1Q,N2
POMO,_2019_4Q,N2
POMO,_2020_1Q,N2
POMO,_2020_2Q,N2
POMO,_2020_3Q,N2
POMO,_2020_4Q,N2
POMO,_2021_1Q,N2
TRPL,_2019_4Q,N1
TRPL,_2020_1Q,N1
TRPL,_2020_2Q,N1
TRPL,_2020_3Q,N1
TRPL,_2020_4Q,N1
TRPL,_2021_1Q,N1
BRKM,_2019_4Q,N1
BRKM,_2020_1Q,N1
BRKM,_2020_2Q,N1
BRKM,_2020_3Q,N1
BRKM,_2020_4Q,N1
BRKM,_2021_1Q,N1
GOAU,_2019_4Q,N1
GOAU,_2020_1Q,N1
GOAU,_2020_2Q,N1
GOAU,_2020_3Q,N1
GOAU,_2020_4Q,N1
GOAU,_2021_1Q,N1
ALPA,_2019_4Q,N1
ALPA,_2020_1Q,N1
ALPA,_2020_2Q,N1
ALPA,_2020_3Q,N1
ALPA,_2020_4Q,N1
ALPA,_2021_1Q,N1
CEDO,_2019_4Q,N1
CEDO,_2020_1Q,N1
CEDO,_2020_2Q,N1
CEDO,_2020_3Q,N1
CEDO,_2020_4Q,N1
CEDO,_2021_1Q,N1
NTCO,_2019_4Q,NM
NTCO,_2020_1Q,NM
NTCO,_2020_2Q,NM
NTCO,_2020_3Q,NM
NTCO,_2020_4Q,NM
NTCO,_2021_1Q,NM
GOLL,_2019_4Q,N2
GOLL,_2020_1Q,N2
GOLL,_2020_2Q,N2
GOLL,_2020_3Q,N2
GOLL,_2020_4Q,N2
GOLL,_2021_1Q,N2
CPFE,_2019_4Q,NM
CPFE,_2020_1Q,NM
CPFE,_2020_2Q,NM
CPFE,_2020_3Q,NM
CPFE,_2020_4Q,NM
CPFE,_2021_1Q,NM
GRND,_2019_4Q,NM
GRND,_2020_1Q,NM
GRND,_2020_2Q,NM
GRND,_2020_3Q,NM
GRND,_2020_4Q,NM
GRND,_2021_1Q,NM
FRAS,_2019_4Q,N1
FRAS,_2020_1Q,N1
FRAS,_2020_2Q,N1
FRAS,_2020_3Q,N1
FRAS,_2020_4Q,N1
FRAS,_2021_1Q,N1
PSSA,_2019_4Q,NM
PSSA,_2020_1Q,NM
PSSA,_2020_2Q,NM
PSSA,_2020_3Q,NM
PSSA,_2020_4Q,NM
PSSA,_2021_1Q,NM
FRTA,_2019_4Q,NM
FRTA,_2020_1Q,NM
FRTA,_2020_2Q,NM
FRTA,_2020_3Q,NM
FRTA,_2020_4Q,NM
FRTA,_2021_1Q,NM
RENT,_2019_4Q,NM
RENT,_2020_1Q,NM
RENT,_2020_2Q,NM
RENT,_2020_3Q,NM
RENT,_2020_4Q,NM
RENT,_2021_1Q,NM
LREN,_2019_4Q,NM
LREN,_2020_1Q,NM
LREN,_2020_2Q,NM
LREN,_2020_3Q,NM
LREN,_2020_4Q,NM
LREN,_2021_1Q,NM
ENBR,_2019_4Q,NM
ENBR,_2020_1Q,NM
ENBR,_2020_2Q,NM
ENBR,_2020_3Q,NM
ENBR,_2020_4Q,NM
ENBR,_2021_1Q,NM
CYRE,_2019_4Q,NM
CYRE,_2020_1Q,NM
CYRE,_2020_2Q,NM
CYRE,_2020_3Q,NM
CYRE,_2020_4Q,NM
CYRE,_2021_1Q,NM
EGIE,_2019_4Q,NM
EGIE,_2020_1Q,NM
EGIE,_2020_2Q,NM
EGIE,_2020_3Q,NM
EGIE,_2020_4Q,NM
EGIE,_2021_1Q,NM
CSAN,_2019_4Q,NM
CSAN,_2020_1Q,NM
CSAN,_2020_2Q,NM
CSAN,_2020_3Q,NM
CSAN,_2020_4Q,NM
CSAN,_2021_1Q,NM
RSID,_2019_4Q,NM
RSID,_2020_1Q,NM
RSID,_2020_2Q,NM
RSID,_2020_3Q,NM
RSID,_2020_4Q,NM
RSID,_2021_1Q,NM
CSMG,_2019_4Q,NM
CSMG,_2020_1Q,NM
CSMG,_2020_2Q,NM
CSMG,_2020_3Q,NM
CSMG,_2020_4Q,NM
CSMG,_2021_1Q,NM
GFSA,_2019_4Q,NM
GFSA,_2020_1Q,NM
GFSA,_2020_2Q,NM
GFSA,_2020_3Q,NM
GFSA,_2020_4Q,NM
GFSA,_2021_1Q,NM
LIGT,_2019_4Q,NM
LIGT,_2020_1Q,NM
LIGT,_2020_2Q,NM
LIGT,_2020_3Q,NM
LIGT,_2020_4Q,NM
LIGT,_2021_1Q,NM
TOTS,_2019_4Q,NM
TOTS,_2020_1Q,NM
TOTS,_2020_2Q,NM
TOTS,_2020_3Q,NM
TOTS,_2020_4Q,NM
